unicode,orginal
ي,ی
ۍ,ی
ێ,ی
ئ,ی
ې,ی
ۑ,ی
ے,ی
ۓ,ی
ؠ,ی
ى,ی
ﯿ,ی
ﯾ,ی
ﯽ,ی
ﯼ,ی
ﮮ,ی
ك,ک
ڪ,ک
ګ,ک
ڬ,ک
ڭ,ک
ڮ,ک
ؼ,ک
ﮎ,ک
ﮏ,ک
ﮐ,ک
ﮑ,ک
ػ,گ
ڰ,گ
ڱ,گ
ڲ,گ
ڳ,گ
ڴ,گ
ة,ه
ە,ه
ۀ,ه
ۂ,ه
ہ,ه
ھ,ه
ﮤ,ه
ﮥ,ه
ﮦ,ه
ﮧ,ه
ﮨ,ه
ں,ن
ﯗ,و
ﯘ,و
ﯙ,و
ﯚ,و
ﯛ,و
ﯜ,و
ﯝ,و
ﯞ,و
ﯟ,و
ﯠ,و
ﯡ,و
ﯢ,و
ﯣ,و
ﺅ,و
ﺆ,و
ﭐ,ا
ﭑ,ا
ﴼ,ا
ﴽ,ا
ﺁ,ا
ﺂ,ا
ﺃ,ا
آ,ا
ﺄ,ا
ﭒ,ب
ﭓ,ب
ﭔ,ی
ﭕ,ی
ﭖ,پ
ﭗ,پ
ﭘ,پ
ﭙ,پ
ﭚ,پ
ﭛ,پ
ﭜ,پ
ﭝ,پ
ﭞ,ت
ﭟ,ت
ﭠ,ت
ﭡ,ت
ﭢ,ث
ﭣ,ث
ﭥ,ث
ﭦ,ث
ﭧ,ث
ﭨ,ث
ﭩ,ث
ﭪ,ق
ﭫ,ق
ﭬ,ق
ﭭ,ق
ﭮ,ق
ﭯ,ق
ﭰ,ق
ﭱ,ق
ﭲ,چ
ﭳ,چ
ﭴ,چ
ﭵ,چ
ﭶ,چ
ﭷ,چ
ﭸ,چ
ﭹ,چ
ﭺ,چ
ﭻ,چ
ﭼ,چ
ﭽ,چ
ﭾ,چ
ﭿ,چ
ﮀ,چ
ﮁ,چ
ﮂ,د
ﮃ,د
ﮄ,ذ
ﮅ,ذ
ﮆ,ذ
ﮇ,ذ
ﮈ,د
ﮉ,د
ﮊ,ژ
ﮋ,ژ
ﮌ,ر
ﮍ,ر
ﺏ,ب
ﺐ,ب
ﺑ,ب
ﺒ,ب
ﺕ,ت
ﺖ,ت
ﺗ,ت
ﺘ,ت
ﺙ,ث
ﺚ,ث
ﺛ,ث
ﺜ,ث
ﺝ,ج
ﺞ,ج
ﺟ,ج
ﺠ,ج
ﺡ,ح
ﺢ,ح
ﺣ,ح
ﺤ,ح
ﺥ,خ
ﺦ,خ
ﺧ,خ
ﺨ,خ
ﺩ,د
ﺪ,د
ﺫ,ذ
ﺬ,ذ
ﺭ,ر
ﺮ,ر
ﺯ,ز
ﺰ,ز
ﺱ,س
ﺲ,س
ﺳ,س
ﺴ,س
ﺵ,ش
ﺶ,ش
ﺷ,ش
ﺸ,ش
ﺹ,ص
ﺺ,ص
ﺻ,ص
ﺼ,ص
ﺽ,ض
ﺾ,ض
ﺿ,ض
ﻀ,ض
ﻁ,ط
ﻂ,ط
ﻃ,ط
ﻄ,ط
ﻅ,ظ
ﻆ,ظ
ﻇ,ظ
ﻈ,ظ
ﻉ,ع
ﻊ,ع
ﻋ,ع
ﻌ,ع
ﻍ,غ
ﻎ,غ
ﻏ,غ
ﻐ,غ
ﻑ,ف
ﻒ,ف
ﻓ,ف
ﻔ,ف
ﻕ,ق
ﻖ,ق
ﻗ,ق
ﻘ,ق
ﻙ,ک
ﻚ,ک
ﻛ,ک
ﻜ,ک
ﻝ,ل
ﻞ,ل
ﻟ,ل
ﻠ,ل
ﻡ,م
ﻢ,م
ﻣ,م
ﻤ,م
ﻥ,ن
ﻦ,ن
ﻧ,ن
ﻨ,ن
ﻩ,ه
ﻪ,ه
ﻫ,ه
ﻬ,ه
ﻭ,و
ﻮ,و
ﻯ,ی
ﻰ,ی
ﻱ,ی
ﻲ,ی
ﻳ,ی
ﻴ,ی
